Source Target Weight
废帝 曹操 7
废帝 刘备 10
废帝 孙坚 5
建昌侯 孙权 7
建昌侯 顾雍 4
建昌侯 孙虑 12
建昌侯 陆逊 8
吕凯 吕岱 11
吕凯 孙权 4
吕凯 陆逊 4
费承 费祎 12
徐庶 刘表 7
徐庶 刘琮 10
徐庶 刘备 85
徐庶 王粲 5
徐庶 诸葛亮 65
徐庶 曹操 25
刘表 徐庶 7
刘表 孙权 119
刘表 程普 7
刘表 韩嵩 5
刘表 孙坚 5
刘表 黄祖 35
刘表 刘磐 5
刘表 吴范 6
刘表 公孙康 16
刘表 诸葛瑾 7
刘表 荀彧 17
刘表 关羽 43
刘表 于禁 4
刘表 黄忠 30
刘表 严颜 16
刘表 凌统 8
刘表 张飞 37
刘表 刘璋 13
刘表 鲁肃 96
刘表 马超 12
刘表 辛毗 6
刘表 董袭 4
刘表 甘宁 13
刘表 刘备 317
刘表 夏侯渊 8
刘表 贾诩 4
刘表 曹操 359
刘表 张昭 12
刘表 蹋顿 8
刘表 李典 9
刘表 刘琮 34
刘表 周瑜 30
刘表 田畴 4
刘表 曹仁 12
刘表 吕蒙 9
刘表 刘琦 34
刘表 徐晃 4
刘表 诸葛亮 92
刘表 步骘 4
刘表 荀攸 48
刘表 贺齐 4
董允 刘璋 12
董允 姜维 4
董允 费祎 63
董允 董和 18
董允 蒋琬 7
董允 杨仪 26
董允 诸葛亮 29
董允 魏延 42
董允 许靖 6
王凌 邓艾 5
孙峻 诸葛诞 6
孙峻 邓艾 6
孙峻 丁奉 4
孙峻 孙权 25
孙峻 州泰 4
孙峻 聂友 9
孙峻 孙静 6
孙峻 吕据 68
孙峻 孙虑 15
孙峻 唐咨 14
孙峻 毋丘俭 10
孙峻 孙恭 9
孙峻 诸葛恪 248
孙峻 孙和 8
孙峻 朱异 22
孙峻 孙綝 99
孙峻 王昶 6
孙峻 孙休 14
孙峻 滕胤 115
孙峻 孙亮 28
孙峻 文钦 49
魏明帝 孙权 6
魏明帝 黄权 13
魏明帝 夏侯衡 4
魏明帝 许褚 7
魏明帝 曹彰 14
魏明帝 刘禅 5
魏明帝 魏文帝 6
魏明帝 曹操 10
魏明帝 马谡 5
魏明帝 诸葛亮 32
魏明帝 夏侯霸 5
夏侯玄 姜维 6
夏侯玄 曹洪 4
夏侯玄 陈寿 4
夏侯玄 曹仁 4
夏侯玄 夏侯渊 4
夏侯玄 曹爽 12
夏侯玄 曹真 4
夏侯玄 曹休 4
夏侯玄 钟会 6
孙和 孙皓 44
孙和 孙权 98
孙和 张承 5
孙和 乌程侯 8
孙和 孙峻 8
孙和 诸葛恪 52
孙和 阚泽 11
孙和 吾粲 13
孙和 朱据 16
孙和 鲁王 11
孙和 顾谭 13
孙和 孙休 28
孙和 陆逊 9
孙和 张布 4
孙和 孙亮 6
孙和 文皇帝 8
孙和 韦曜 41
