这是第1篇评论     2个人物
裴松之 2
陈寿 2
这是第2篇评论     4个人物
曹操 22
孙权 1
刘备 1
诸葛亮 2
这是第3篇评论     0个人物
这是第4篇评论     7个人物
陈登 5
元龙 16
伏波将军 3
许汜 9
刘备 15
刘表 17
曹操 1
这是第5篇评论     0个人物
这是第6篇评论     54个人物
孙权 37
曹操 1
孙仲谋 1
陈寿 1
张承 4
诸葛瑾 5
孙和 15
陆逊 16
陆抗 5
孙策 5
大张氏 2
小张氏 1
陆景 1
孙鲁班 17
孙鲁育 4
周瑜 1
周循 2
全琮 6
孙亮 5
朱据 8
朱氏 2
孙休 4
孙恭 6
朱损 1
孙峻 3
孙登 7
诸葛恪 4
张休 6
顾谭 5
陈表 1
张昭 1
顾雍 1
陈武 1
鲁王 3
孙霸 1
王夫人 3
夫人 1
王氏 1
裴松之 1
滕胤 1
丁密 1
步骘 4
吕岱 2
吕据 2
孙弘 2
鲁王党 1
全寄 1
吕蒙 1
潘浚 1
武烈皇帝 1
坚 1
孙綝 2
孙皓 1
吾粲 1
这是第7篇评论     1个人物
裴松之 1
这是第8篇评论     30个人物
姜维 77
蒋琬费祎 2
钟会 28
诸葛亮 46
曹操 1
郑玄 1
赵云 3
邓芝 2
曹真 1
天水太守 2
马遵 7
郭淮 3
张裔 1
蒋琬 1
姜伯约 3
李邵 1
马良 1
司马懿 6
诸葛 1
杨仪 4
魏延 2
费祎 2
黄皓 4
马谡 1
刘备 2
邓艾 13
诸葛瞻 1
刘禅 6
司马昭 3
孔明 2
这是第9篇评论     18个人物
刘备 9
曹操 7
诸葛亮 9
赵云 1
周瑜 7
诸葛 1
司马懿 2
车胄 2
关羽 7
孙坚 1
庞德 2
鲁肃 3
华佗 1
孙权 3
吕蒙 4
阿斗 1
刘琮 1
陆逊 1
这是第10篇评论     2个人物
云长 1
诸葛 1
这是第11篇评论     12个人物
刘备 2
顾雍 1
虞翻 1
严畯 1
诸葛亮 4
徐庶 2
曹操 1
荀彧 1
郭嘉 1
鲁肃 1
孔明 1
张飞 2
这是第12篇评论     300个人物
陈寿 1
裴松之 1
高贵乡公 1
陈留王 1
武宣卞皇后 1
文昭甄皇后 1
文德郭皇后 1
明悼毛皇后 1
明元郭皇后 1
刘表 1
陈登 2
公孙瓒 1
陶谦 1
公孙度 1
张燕 1
张鲁 1
韩浩 1
史涣 1
夏侯渊 1
曹仁 1
曹洪 1
曹休 1
曹真 1
何晏 1
丁谧 1
毕轨 1
李胜 1
桓范 1
夏侯尚 1
荀彧 1
荀攸 1
贾诩 1
袁涣 1
张范 1
凉茂 1
国渊 1
田畴 1
王修 1
邴原 1
管宁 1
胡昭 1
张臶 2
王烈 1
崔琰 1
孔融 1
毛玠 1
何夔 1
邢颙 1
鲍勋 1
钟繇 1
程昱 1
郭嘉 1
董昭 1
刘晔 1
蒋济 1
刘放 1
孙资 1
刘馥 1
司马朗 1
梁习 1
温恢 1
贾逵 1
任峻 1
苏则 1
杜畿 1
郑浑 1
仓慈 1
张辽 1
于禁 1
徐晃 1
朱灵 1
李典 1
李通 1
臧霸 1
孙观 1
文聘 1
吕虔 1
许褚 1
典韦 1
庞淯 1
阎温 1
